Title,Type,Finishing,Location,City,Area,Beds,Baths,Price,Price_per_sqm,URL
Property 634,Villa,Unknown,Giza,Suez,475 sqm,5,2,"4,649,199 EGP",33745.943404294434,https://example.com/property/634
Property 635,Apartment,Unknown,New Cairo,Suez,363 sqm,3,4,"4,908,004 EGP",34314.51296323922,https://example.com/property/635
Property 636,Apartment,Semi Finished,Cairo,Giza,273 sqm,4,2,"7,996,413 EGP",26134.57220105413,https://example.com/property/636
Property 637,Apartment,Fully Finished,Sheikh Zayed,North Coast,469 sqm,1,3,"6,227,482 EGP",37058.885739696445,https://example.com/property/637
Property 638,Villa,Semi Finished,Sheikh Zayed,Cairo,247 sqm,5,2,"6,715,094 EGP",17597.310649214367,https://example.com/property/638
Property 639,Townhouse,Semi Finished,Cairo,Cairo,491 sqm,5,2,"9,982,899 EGP",42749.87241536766,https://example.com/property/639
Property 640,Apartment,Fully Finished,Cairo,North Coast,280 sqm,4,4,"1,212,120 EGP",14667.564797435993,https://example.com/property/640
Property 641,Apartment,Semi Finished,Cairo,North Coast,101 sqm,1,4,"2,618,593 EGP",36240.05418612437,https://example.com/property/641
Property 642,Villa,Fully Finished,Giza,Giza,394 sqm,1,1,"4,375,011 EGP",23645.973032787322,https://example.com/property/642
Property 643,Apartment,Unknown,Giza,North Coast,355 sqm,4,1,"3,803,932 EGP",39900.51882329908,https://example.com/property/643
Property 644,Townhouse,Fully Finished,Giza,Cairo,397 sqm,2,4,"705,632 EGP",31990.582050640798,https://example.com/property/644
Property 645,Townhouse,Unknown,Maadi,Cairo,478 sqm,5,2,"1,371,887 EGP",28094.121539148648,https://example.com/property/645
Property 646,Apartment,Semi Finished,Sheikh Zayed,Cairo,399 sqm,5,2,"6,969,056 EGP",16776.89608372988,https://example.com/property/646
Property 647,Apartment,Semi Finished,Sheikh Zayed,Cairo,325 sqm,3,1,"8,853,582 EGP",35472.85857137411,https://example.com/property/647
Property 648,Villa,Unknown,New Cairo,Cairo,435 sqm,4,1,"5,385,156 EGP",48990.79373681652,https://example.com/property/648
Property 649,Townhouse,Semi Finished,Giza,Giza,352 sqm,3,1,"5,622,315 EGP",43024.1369962806,https://example.com/property/649
Property 650,Townhouse,Fully Finished,Maadi,Cairo,233 sqm,3,3,"2,923,387 EGP",12400.327703560471,https://example.com/property/650
Property 651,Apartment,Unknown,Maadi,Giza,448 sqm,1,3,"7,794,825 EGP",25049.175134447643,https://example.com/property/651
Property 652,Villa,Semi Finished,Sheikh Zayed,Cairo,149 sqm,5,1,"7,642,048 EGP",47023.320367610875,https://example.com/property/652
Property 653,Townhouse,Unknown,Giza,Suez,371 sqm,3,2,"6,089,474 EGP",30121.749902280855,https://example.com/property/653
Property 654,Townhouse,Fully Finished,New Cairo,Suez,446 sqm,1,1,"2,520,310 EGP",36484.473032327165,https://example.com/property/654
Property 655,Villa,Fully Finished,Giza,Suez,379 sqm,4,3,"1,421,673 EGP",46503.973823655615,https://example.com/property/655
Property 656,Villa,Semi Finished,Cairo,Suez,363 sqm,3,2,"1,110,266 EGP",44951.78761679523,https://example.com/property/656
Property 657,Townhouse,Fully Finished,Giza,Giza,388 sqm,5,3,"6,130,612 EGP",30072.815021620438,https://example.com/property/657
Property 658,Townhouse,Unknown,Cairo,Giza,259 sqm,3,2,"8,337,835 EGP",27505.852106304083,https://example.com/property/658
Property 659,Villa,Fully Finished,Cairo,North Coast,443 sqm,4,3,"8,654,139 EGP",23587.704739183486,https://example.com/property/659
Property 660,Townhouse,Unknown,New Cairo,Cairo,141 sqm,3,2,"4,904,409 EGP",38760.77772651565,https://example.com/property/660
Property 661,Apartment,Unknown,Sheikh Zayed,Suez,107 sqm,5,2,"7,950,577 EGP",21479.47197886173,https://example.com/property/661
Property 662,Apartment,Fully Finished,Giza,Giza,178 sqm,1,2,"9,495,361 EGP",19995.504257236003,https://example.com/property/662
Property 663,Villa,Semi Finished,Cairo,Cairo,289 sqm,5,2,"3,114,116 EGP",24249.995784151204,https://example.com/property/663
Property 664,Villa,Fully Finished,Giza,Cairo,279 sqm,1,4,"4,280,623 EGP",17088.60227515168,https://example.com/property/664
Property 665,Villa,Unknown,Sheikh Zayed,Giza,419 sqm,2,3,"9,349,050 EGP",37804.792637830695,https://example.com/property/665
Property 666,Apartment,Unknown,Sheikh Zayed,Suez,232 sqm,5,3,"3,713,194 EGP",34649.625973224494,https://example.com/property/666
Property 667,Townhouse,Fully Finished,Maadi,North Coast,267 sqm,5,4,"9,181,824 EGP",29315.141364633742,https://example.com/property/667
Property 668,Apartment,Semi Finished,Sheikh Zayed,Cairo,56 sqm,4,2,"9,819,926 EGP",25613.031170462185,https://example.com/property/668
Property 669,Townhouse,Semi Finished,New Cairo,North Coast,234 sqm,3,2,"6,787,201 EGP",46362.50171586926,https://example.com/property/669
Property 670,Apartment,Unknown,Cairo,Suez,341 sqm,1,3,"8,260,457 EGP",11164.951399564212,https://example.com/property/670
Property 671,Townhouse,Unknown,Maadi,Suez,56 sqm,1,4,"7,620,682 EGP",40764.30974029197,https://example.com/property/671
Property 672,Apartment,Semi Finished,New Cairo,North Coast,176 sqm,4,2,"7,145,575 EGP",46076.38286995555,https://example.com/property/672
Property 673,Villa,Fully Finished,Giza,Suez,143 sqm,4,2,"3,415,845 EGP",27854.18317719704,https://example.com/property/673
Property 674,Apartment,Unknown,Cairo,Cairo,68 sqm,3,2,"1,042,396 EGP",32027.619658825868,https://example.com/property/674
Property 675,Townhouse,Unknown,Sheikh Zayed,North Coast,265 sqm,3,1,"3,758,991 EGP",47778.54751528152,https://example.com/property/675
Property 676,Apartment,Semi Finished,Cairo,Suez,131 sqm,5,4,"6,835,891 EGP",18491.100611420577,https://example.com/property/676
Property 677,Apartment,Fully Finished,Giza,North Coast,384 sqm,2,2,"1,474,027 EGP",30805.393911387397,https://example.com/property/677
Property 678,Apartment,Semi Finished,Maadi,Cairo,431 sqm,3,1,"613,220 EGP",28988.845085128516,https://example.com/property/678
Property 679,Villa,Fully Finished,Maadi,Suez,295 sqm,4,4,"1,827,077 EGP",20335.705914814804,https://example.com/property/679
Property 680,Apartment,Fully Finished,Maadi,Cairo,491 sqm,3,2,"7,299,491 EGP",42743.729214924315,https://example.com/property/680
Property 681,Villa,Fully Finished,Sheikh Zayed,Suez,252 sqm,1,3,"9,741,540 EGP",45984.023790529434,https://example.com/property/681
Property 682,Villa,Unknown,New Cairo,Giza,281 sqm,2,1,"9,839,114 EGP",41277.30319152835,https://example.com/property/682
Property 683,Apartment,Semi Finished,New Cairo,Suez,495 sqm,5,1,"5,192,801 EGP",17814.358433944333,https://example.com/property/683
Property 684,Apartment,Semi Finished,Cairo,North Coast,154 sqm,1,2,"8,758,846 EGP",13469.945420055263,https://example.com/property/684
Property 685,Apartment,Fully Finished,Sheikh Zayed,Suez,474 sqm,1,2,"7,499,851 EGP",34217.7794122137,https://example.com/property/685
Property 686,Townhouse,Unknown,Maadi,Cairo,69 sqm,2,1,"5,259,882 EGP",12283.790420395359,https://example.com/property/686
Property 687,Apartment,Unknown,Maadi,Cairo,250 sqm,5,3,"5,941,225 EGP",36913.03554232337,https://example.com/property/687
Property 688,Villa,Semi Finished,Giza,Suez,81 sqm,4,3,"1,803,657 EGP",31216.96881308971,https://example.com/property/688
Property 689,Apartment,Unknown,Giza,North Coast,378 sqm,5,4,"9,407,783 EGP",36511.42930974654,https://example.com/property/689
Property 690,Townhouse,Unknown,Maadi,Giza,323 sqm,3,2,"3,843,332 EGP",33606.83094598976,https://example.com/property/690
Property 691,Apartment,Fully Finished,Maadi,North Coast,367 sqm,1,3,"4,738,417 EGP",26908.102781086913,https://example.com/property/691
Property 692,Townhouse,Unknown,Sheikh Zayed,Giza,218 sqm,3,4,"6,880,772 EGP",18035.087205609132,https://example.com/property/692
Property 693,Townhouse,Fully Finished,New Cairo,Cairo,216 sqm,4,3,"3,672,073 EGP",22228.085432419542,https://example.com/property/693
Property 694,Apartment,Semi Finished,Giza,North Coast,70 sqm,3,2,"2,915,462 EGP",30980.022968759058,https://example.com/property/694
Property 695,Villa,Unknown,New Cairo,Giza,207 sqm,5,4,"6,494,969 EGP",36074.72374590424,https://example.com/property/695
Property 696,Townhouse,Semi Finished,Sheikh Zayed,Suez,468 sqm,3,4,"737,348 EGP",41179.32067538114,https://example.com/property/696
Property 697,Apartment,Semi Finished,Maadi,Cairo,220 sqm,4,4,"7,346,888 EGP",40686.82873796244,https://example.com/property/697
Property 698,Apartment,Unknown,New Cairo,Suez,424 sqm,4,3,"5,383,222 EGP",48907.54973044341,https://example.com/property/698
Property 699,Villa,Unknown,Maadi,Cairo,429 sqm,4,2,"6,254,660 EGP",21433.657946536376,https://example.com/property/699
Property 700,Townhouse,Semi Finished,Maadi,North Coast,217 sqm,5,4,"6,502,861 EGP",12844.428328537471,https://example.com/property/700
Property 701,Townhouse,Unknown,Cairo,North Coast,334 sqm,4,1,"5,506,976 EGP",23826.27742167437,https://example.com/property/701
Property 702,Apartment,Fully Finished,New Cairo,Cairo,92 sqm,1,2,"6,034,070 EGP",39731.779008963065,https://example.com/property/702
Property 703,Apartment,Fully Finished,New Cairo,Cairo,96 sqm,4,1,"6,995,987 EGP",27524.46604133181,https://example.com/property/703
Property 704,Villa,Unknown,Maadi,Cairo,71 sqm,3,1,"7,654,629 EGP",42711.53722357677,https://example.com/property/704
Property 705,Villa,Semi Finished,Sheikh Zayed,North Coast,311 sqm,3,4,"7,410,797 EGP",31973.054607440597,https://example.com/property/705
Property 706,Townhouse,Unknown,Cairo,Giza,241 sqm,3,4,"8,761,356 EGP",47191.66890522012,https://example.com/property/706
Property 707,Townhouse,Unknown,Maadi,Suez,296 sqm,5,3,"2,299,712 EGP",47914.537679962756,https://example.com/property/707
Property 708,Apartment,Semi Finished,Giza,Suez,284 sqm,3,3,"4,310,905 EGP",12772.180240749949,https://example.com/property/708
Property 709,Townhouse,Semi Finished,Giza,North Coast,207 sqm,5,3,"9,504,062 EGP",28256.537588496973,https://example.com/property/709
Property 710,Villa,Fully Finished,Cairo,Suez,354 sqm,5,2,"4,267,610 EGP",34387.562449982725,https://example.com/property/710
Property 711,Villa,Semi Finished,Sheikh Zayed,Cairo,391 sqm,4,3,"1,686,265 EGP",20234.90163248851,https://example.com/property/711
Property 712,Apartment,Fully Finished,Maadi,Giza,56 sqm,1,1,"5,491,728 EGP",26283.07117515921,https://example.com/property/712
Property 713,Villa,Semi Finished,New Cairo,Suez,143 sqm,4,3,"1,540,164 EGP",37107.261644707934,https://example.com/property/713
Property 714,Villa,Unknown,Cairo,Giza,370 sqm,4,4,"2,427,105 EGP",19069.369075934457,https://example.com/property/714
Property 715,Villa,Fully Finished,Sheikh Zayed,Cairo,223 sqm,5,3,"9,984,028 EGP",34079.2541189781,https://example.com/property/715
Property 716,Villa,Fully Finished,New Cairo,Suez,348 sqm,5,2,"5,642,945 EGP",37897.91312657224,https://example.com/property/716
Property 717,Apartment,Fully Finished,Giza,North Coast,206 sqm,3,2,"3,198,554 EGP",13619.85244383467,https://example.com/property/717
Property 718,Apartment,Unknown,Giza,Giza,225 sqm,3,1,"9,950,362 EGP",29901.17264109811,https://example.com/property/718
Property 719,Townhouse,Unknown,New Cairo,Cairo,121 sqm,4,2,"9,682,309 EGP",20523.20119696763,https://example.com/property/719
Property 720,Villa,Unknown,Cairo,Giza,166 sqm,2,3,"4,687,020 EGP",38975.45423992178,https://example.com/property/720
Property 721,Townhouse,Unknown,Giza,Suez,322 sqm,2,4,"2,973,829 EGP",17582.22034147762,https://example.com/property/721
Property 722,Apartment,Unknown,Maadi,Suez,244 sqm,3,2,"8,464,796 EGP",45689.51662152426,https://example.com/property/722
Property 723,Apartment,Fully Finished,New Cairo,North Coast,398 sqm,2,1,"7,298,396 EGP",27237.653460733076,https://example.com/property/723
Property 724,Apartment,Unknown,New Cairo,Cairo,433 sqm,3,3,"7,025,943 EGP",17920.12121230214,https://example.com/property/724
Property 725,Apartment,Fully Finished,Giza,Cairo,293 sqm,5,1,"8,984,580 EGP",27520.871854013174,https://example.com/property/725
Property 726,Apartment,Unknown,Cairo,North Coast,391 sqm,4,2,"7,049,462 EGP",26349.750512341114,https://example.com/property/726
Property 727,Apartment,Semi Finished,Maadi,North Coast,188 sqm,1,2,"3,196,080 EGP",27156.75837974841,https://example.com/property/727
Property 728,Apartment,Fully Finished,Cairo,Cairo,236 sqm,4,1,"7,091,700 EGP",33422.45173989788,https://example.com/property/728
Property 729,Villa,Semi Finished,Sheikh Zayed,Giza,370 sqm,3,3,"3,405,228 EGP",30846.9489965415,https://example.com/property/729
Property 730,Townhouse,Fully Finished,Sheikh Zayed,Giza,223 sqm,3,2,"7,712,770 EGP",15991.085267236107,https://example.com/property/730
Property 731,Apartment,Semi Finished,Giza,North Coast,314 sqm,4,4,"6,387,604 EGP",12623.162905865453,https://example.com/property/731
Property 732,Villa,Unknown,Giza,Giza,133 sqm,3,2,"1,235,409 EGP",39176.61794906162,https://example.com/property/732
Property 733,Villa,Unknown,Giza,Cairo,319 sqm,2,3,"5,371,935 EGP",32388.697437132538,https://example.com/property/733
Property 734,Townhouse,Unknown,Sheikh Zayed,Suez,437 sqm,2,2,"3,761,359 EGP",24360.030723170552,https://example.com/property/734
Property 735,Apartment,Fully Finished,Cairo,Suez,440 sqm,3,1,"3,621,421 EGP",42334.31289992295,https://example.com/property/735
Property 736,Townhouse,Semi Finished,Cairo,Giza,375 sqm,3,2,"6,221,434 EGP",25522.33897043828,https://example.com/property/736
Property 737,Apartment,Unknown,Giza,North Coast,385 sqm,2,2,"3,562,085 EGP",41838.6035840243,https://example.com/property/737
Property 738,Villa,Semi Finished,Maadi,North Coast,301 sqm,3,3,"7,880,490 EGP",22230.245100494987,https://example.com/property/738
Property 739,Villa,Semi Finished,Cairo,North Coast,313 sqm,3,1,"1,172,518 EGP",12913.81190180799,https://example.com/property/739
Property 740,Villa,Unknown,Sheikh Zayed,North Coast,110 sqm,4,3,"6,773,688 EGP",47305.58775199716,https://example.com/property/740
Property 741,Villa,Unknown,New Cairo,North Coast,249 sqm,1,2,"8,187,350 EGP",25782.045171254926,https://example.com/property/741
Property 742,Townhouse,Semi Finished,New Cairo,Giza,252 sqm,2,4,"6,891,901 EGP",41707.70291397511,https://example.com/property/742
Property 743,Apartment,Unknown,New Cairo,Suez,481 sqm,4,2,"5,223,677 EGP",21165.76532889218,https://example.com/property/743
Property 744,Apartment,Unknown,Maadi,Suez,243 sqm,1,3,"9,527,916 EGP",35854.60448494624,https://example.com/property/744
Property 745,Townhouse,Unknown,Giza,Giza,297 sqm,3,4,"3,349,415 EGP",44932.43493030913,https://example.com/property/745
Property 746,Apartment,Fully Finished,Sheikh Zayed,North Coast,289 sqm,3,3,"682,094 EGP",11665.760893599214,https://example.com/property/746
Property 747,Villa,Semi Finished,Maadi,Giza,336 sqm,4,3,"4,603,899 EGP",43225.43058744357,https://example.com/property/747
Property 748,Apartment,Semi Finished,Sheikh Zayed,Suez,386 sqm,3,1,"813,613 EGP",32853.32019887715,https://example.com/property/748
Property 749,Villa,Fully Finished,Sheikh Zayed,Cairo,151 sqm,5,4,"9,562,399 EGP",34298.87015634277,https://example.com/property/749
Property 750,Townhouse,Semi Finished,Giza,Giza,287 sqm,4,2,"2,494,221 EGP",30926.320032239306,https://example.com/property/750
Property 751,Apartment,Unknown,New Cairo,North Coast,421 sqm,1,3,"7,994,806 EGP",44979.0041313457,https://example.com/property/751
Property 752,Townhouse,Semi Finished,Giza,Suez,258 sqm,4,2,"7,858,434 EGP",11737.334289425498,https://example.com/property/752
Property 753,Apartment,Unknown,Maadi,Suez,175 sqm,2,1,"2,568,424 EGP",20441.135661433924,https://example.com/property/753
Property 754,Villa,Fully Finished,Maadi,Suez,344 sqm,4,1,"6,401,652 EGP",45030.501554366216,https://example.com/property/754
Property 755,Townhouse,Unknown,Maadi,Suez,420 sqm,3,4,"956,750 EGP",40093.82810127824,https://example.com/property/755
Property 756,Apartment,Semi Finished,Giza,North Coast,78 sqm,3,1,"5,093,958 EGP",10705.806407144233,https://example.com/property/756
Property 757,Villa,Semi Finished,Sheikh Zayed,Cairo,399 sqm,5,1,"639,147 EGP",30680.251328388345,https://example.com/property/757
Property 758,Townhouse,Semi Finished,Sheikh Zayed,Suez,419 sqm,5,2,"9,250,866 EGP",31182.907228506992,https://example.com/property/758
Property 759,Townhouse,Fully Finished,Cairo,Giza,257 sqm,5,1,"9,772,817 EGP",26035.285405116418,https://example.com/property/759
Property 760,Apartment,Fully Finished,Maadi,Cairo,492 sqm,1,1,"2,611,686 EGP",21895.73328247959,https://example.com/property/760
Property 761,Apartment,Semi Finished,Sheikh Zayed,Suez,404 sqm,5,3,"2,477,007 EGP",37268.994016493685,https://example.com/property/761
Property 762,Apartment,Unknown,Cairo,Cairo,398 sqm,1,1,"7,660,341 EGP",18311.618588190155,https://example.com/property/762
Property 763,Villa,Fully Finished,Sheikh Zayed,Giza,386 sqm,5,3,"2,907,104 EGP",41957.94248286824,https://example.com/property/763
Property 764,Apartment,Semi Finished,Maadi,Suez,117 sqm,1,1,"9,003,227 EGP",42121.486430698875,https://example.com/property/764
Property 765,Townhouse,Semi Finished,New Cairo,Giza,147 sqm,4,1,"5,952,326 EGP",26610.45750291282,https://example.com/property/765
Property 766,Townhouse,Fully Finished,Maadi,North Coast,258 sqm,4,4,"3,832,387 EGP",21341.920436385906,https://example.com/property/766
Property 767,Apartment,Fully Finished,Giza,Suez,168 sqm,3,4,"8,410,590 EGP",21355.12726362853,https://example.com/property/767
Property 768,Apartment,Fully Finished,Sheikh Zayed,Suez,236 sqm,1,3,"5,187,363 EGP",29291.652959848405,https://example.com/property/768
Property 769,Townhouse,Unknown,Sheikh Zayed,Suez,449 sqm,2,1,"9,160,512 EGP",38783.16898997435,https://example.com/property/769
Property 770,Villa,Unknown,Giza,Suez,420 sqm,3,2,"9,316,135 EGP",24354.74763975435,https://example.com/property/770
Property 771,Apartment,Semi Finished,Giza,North Coast,333 sqm,4,4,"2,071,491 EGP",34401.733818310066,https://example.com/property/771
Property 772,Apartment,Fully Finished,New Cairo,Suez,436 sqm,1,2,"522,072 EGP",25299.378423303773,https://example.com/property/772
Property 773,Townhouse,Unknown,Sheikh Zayed,Cairo,402 sqm,5,4,"9,847,343 EGP",22180.927566055332,https://example.com/property/773
Property 774,Apartment,Fully Finished,Sheikh Zayed,Suez,243 sqm,2,4,"9,108,306 EGP",10994.380636631766,https://example.com/property/774
Property 775,Villa,Semi Finished,New Cairo,North Coast,140 sqm,4,1,"1,026,729 EGP",10156.564229415626,https://example.com/property/775
Property 776,Townhouse,Unknown,Cairo,Suez,281 sqm,3,4,"8,413,825 EGP",19088.307113280178,https://example.com/property/776
Property 777,Apartment,Unknown,New Cairo,Cairo,381 sqm,1,2,"4,849,146 EGP",26256.251472039818,https://example.com/property/777
Property 778,Townhouse,Unknown,Maadi,North Coast,246 sqm,2,4,"2,960,135 EGP",44050.44669448241,https://example.com/property/778
Property 779,Apartment,Semi Finished,Sheikh Zayed,North Coast,350 sqm,1,3,"8,848,091 EGP",41939.36971721702,https://example.com/property/779
Property 780,Apartment,Fully Finished,Giza,Cairo,92 sqm,5,1,"2,368,338 EGP",20686.610503519594,https://example.com/property/780
Property 781,Apartment,Unknown,Maadi,Cairo,386 sqm,3,1,"9,499,349 EGP",19781.617719371974,https://example.com/property/781
Property 782,Villa,Semi Finished,Sheikh Zayed,Cairo,415 sqm,1,3,"2,453,404 EGP",19092.882842801097,https://example.com/property/782
Property 783,Villa,Fully Finished,New Cairo,Cairo,368 sqm,4,3,"6,329,990 EGP",23569.49362115468,https://example.com/property/783
Property 784,Townhouse,Semi Finished,Maadi,Cairo,485 sqm,3,3,"2,619,320 EGP",29927.948782467414,https://example.com/property/784
Property 785,Apartment,Fully Finished,Sheikh Zayed,North Coast,421 sqm,4,4,"5,683,852 EGP",27546.710881263018,https://example.com/property/785
Property 786,Apartment,Semi Finished,Cairo,North Coast,456 sqm,1,1,"6,997,763 EGP",18730.92795125975,https://example.com/property/786
Property 787,Villa,Fully Finished,Cairo,Suez,470 sqm,3,3,"2,307,165 EGP",15218.056397744722,https://example.com/property/787
Property 788,Apartment,Unknown,Giza,Suez,410 sqm,4,4,"5,448,414 EGP",10503.112499447816,https://example.com/property/788
Property 789,Villa,Fully Finished,Sheikh Zayed,Giza,353 sqm,5,3,"4,956,067 EGP",16158.529546660153,https://example.com/property/789
Property 790,Apartment,Semi Finished,Cairo,Suez,52 sqm,5,2,"1,174,855 EGP",38214.25480776473,https://example.com/property/790
Property 791,Townhouse,Semi Finished,New Cairo,Suez,259 sqm,1,2,"8,273,924 EGP",19745.54277382332,https://example.com/property/791
Property 792,Apartment,Fully Finished,Sheikh Zayed,Cairo,307 sqm,3,1,"3,688,982 EGP",28744.07240486039,https://example.com/property/792
Property 793,Apartment,Unknown,New Cairo,Cairo,186 sqm,2,4,"5,958,530 EGP",33652.04595692979,https://example.com/property/793
Property 794,Villa,Unknown,New Cairo,Suez,193 sqm,3,2,"5,390,450 EGP",45473.636113264285,https://example.com/property/794
Property 795,Apartment,Fully Finished,Cairo,Giza,482 sqm,5,2,"5,375,974 EGP",45554.203935736776,https://example.com/property/795
Property 796,Apartment,Fully Finished,Sheikh Zayed,Cairo,451 sqm,4,4,"1,518,612 EGP",39829.34934725436,https://example.com/property/796
Property 797,Villa,Semi Finished,Maadi,Suez,432 sqm,2,3,"4,523,079 EGP",11406.279681940057,https://example.com/property/797
Property 798,Townhouse,Unknown,Cairo,Suez,232 sqm,1,4,"4,797,484 EGP",33002.816763416595,https://example.com/property/798
Property 799,Townhouse,Fully Finished,Cairo,North Coast,56 sqm,2,3,"7,469,606 EGP",41463.33883326026,https://example.com/property/799
Property 800,Villa,Unknown,Sheikh Zayed,Giza,86 sqm,1,2,"8,480,178 EGP",10691.521790534529,https://example.com/property/800
Property 801,Villa,Fully Finished,Sheikh Zayed,North Coast,190 sqm,2,2,"5,677,331 EGP",31987.384546263133,https://example.com/property/801
Property 802,Villa,Fully Finished,New Cairo,Giza,57 sqm,1,2,"1,324,438 EGP",44310.56583144118,https://example.com/property/802
Property 803,Villa,Unknown,Sheikh Zayed,Cairo,57 sqm,1,1,"2,750,069 EGP",28964.083033690677,https://example.com/property/803
Property 804,Villa,Fully Finished,New Cairo,Giza,462 sqm,2,1,"2,066,873 EGP",10164.248115897939,https://example.com/property/804
Property 805,Townhouse,Fully Finished,Cairo,Suez,367 sqm,2,1,"1,683,843 EGP",10440.534333424299,https://example.com/property/805
Property 806,Townhouse,Semi Finished,Giza,Suez,189 sqm,1,4,"3,976,043 EGP",26665.441496550022,https://example.com/property/806
Property 807,Villa,Fully Finished,Maadi,Giza,109 sqm,5,2,"2,679,238 EGP",16200.346696670182,https://example.com/property/807
Property 808,Apartment,Fully Finished,Cairo,Giza,280 sqm,2,2,"2,573,879 EGP",36578.02628373038,https://example.com/property/808
Property 809,Villa,Fully Finished,Sheikh Zayed,Giza,52 sqm,3,4,"1,019,585 EGP",38351.97059624616,https://example.com/property/809
Property 810,Apartment,Semi Finished,Maadi,North Coast,472 sqm,4,1,"667,865 EGP",17115.191818425144,https://example.com/property/810
Property 811,Villa,Unknown,Giza,Giza,236 sqm,1,4,"1,476,298 EGP",45541.331540979394,https://example.com/property/811
Property 812,Villa,Semi Finished,Giza,Cairo,231 sqm,1,1,"2,135,876 EGP",27676.313799157037,https://example.com/property/812
Property 813,Townhouse,Semi Finished,New Cairo,North Coast,225 sqm,4,2,"4,594,345 EGP",15713.836303676948,https://example.com/property/813
Property 814,Apartment,Unknown,Maadi,North Coast,81 sqm,5,3,"5,349,942 EGP",40570.06392277582,https://example.com/property/814
Property 815,Apartment,Semi Finished,New Cairo,Giza,337 sqm,4,1,"1,835,623 EGP",41598.98000067091,https://example.com/property/815
Property 816,Townhouse,Unknown,Cairo,Cairo,379 sqm,2,2,"4,535,441 EGP",35571.8189066183,https://example.com/property/816
Property 817,Townhouse,Semi Finished,Maadi,North Coast,354 sqm,4,2,"3,746,614 EGP",44138.62212810213,https://example.com/property/817
Property 818,Townhouse,Unknown,Cairo,Suez,112 sqm,1,3,"2,242,524 EGP",39494.918881226855,https://example.com/property/818
Property 819,Townhouse,Fully Finished,New Cairo,North Coast,310 sqm,4,2,"564,987 EGP",45288.229489079626,https://example.com/property/819
Property 820,Apartment,Semi Finished,Maadi,Giza,306 sqm,3,2,"4,936,669 EGP",27355.521939419177,https://example.com/property/820
Property 821,Apartment,Semi Finished,New Cairo,Cairo,440 sqm,2,1,"7,013,691 EGP",39903.8851239777,https://example.com/property/821
Property 822,Villa,Semi Finished,Maadi,Giza,220 sqm,4,1,"2,649,634 EGP",49990.06253716177,https://example.com/property/822
Property 823,Villa,Semi Finished,New Cairo,Suez,217 sqm,1,3,"1,752,164 EGP",38997.24790078477,https://example.com/property/823
Property 824,Townhouse,Fully Finished,Giza,Suez,328 sqm,2,3,"8,926,906 EGP",14567.351209485287,https://example.com/property/824
Property 825,Townhouse,Semi Finished,New Cairo,Suez,334 sqm,1,2,"3,112,735 EGP",30732.74889716732,https://example.com/property/825
Property 826,Townhouse,Fully Finished,Giza,Giza,261 sqm,5,1,"2,624,319 EGP",33493.91164972112,https://example.com/property/826
Property 827,Villa,Fully Finished,New Cairo,North Coast,249 sqm,3,3,"8,642,420 EGP",16968.42700285564,https://example.com/property/827
Property 828,Villa,Fully Finished,Maadi,Giza,272 sqm,5,3,"8,262,517 EGP",48515.6653671215,https://example.com/property/828
Property 829,Villa,Fully Finished,Maadi,Cairo,437 sqm,3,4,"4,759,291 EGP",17023.191105384652,https://example.com/property/829
Property 830,Villa,Unknown,Maadi,North Coast,257 sqm,4,3,"5,147,769 EGP",17102.31678852891,https://example.com/property/830
Property 831,Villa,Unknown,Sheikh Zayed,Suez,472 sqm,2,2,"2,568,612 EGP",46606.6855189822,https://example.com/property/831
Property 832,Villa,Semi Finished,Cairo,Giza,276 sqm,4,1,"1,243,865 EGP",28608.217324866844,https://example.com/property/832
Property 833,Villa,Unknown,Maadi,Suez,477 sqm,3,3,"5,947,602 EGP",12527.531170980648,https://example.com/property/833
Property 834,Townhouse,Unknown,Giza,Suez,424 sqm,3,4,"1,434,276 EGP",33927.49999754115,https://example.com/property/834
Property 835,Townhouse,Semi Finished,Maadi,Cairo,213 sqm,3,1,"4,768,108 EGP",34073.05394532191,https://example.com/property/835
Property 836,Townhouse,Semi Finished,Sheikh Zayed,North Coast,438 sqm,1,3,"9,434,723 EGP",12580.030347462472,https://example.com/property/836
Property 837,Townhouse,Semi Finished,Giza,Cairo,99 sqm,2,4,"9,551,926 EGP",48900.89982534648,https://example.com/property/837
Property 838,Villa,Unknown,Sheikh Zayed,Cairo,466 sqm,4,3,"2,773,656 EGP",31761.198611783024,https://example.com/property/838
Property 839,Apartment,Unknown,Giza,Cairo,334 sqm,4,1,"6,429,077 EGP",32391.82888719057,https://example.com/property/839
Property 840,Villa,Semi Finished,New Cairo,Suez,74 sqm,5,1,"5,003,724 EGP",30804.61658009578,https://example.com/property/840
Property 841,Apartment,Fully Finished,Cairo,Cairo,339 sqm,3,1,"8,819,008 EGP",34429.271185784804,https://example.com/property/841
Property 842,Townhouse,Semi Finished,Cairo,Cairo,488 sqm,3,2,"3,078,593 EGP",20571.990110950195,https://example.com/property/842
Property 843,Villa,Fully Finished,Sheikh Zayed,North Coast,81 sqm,3,3,"535,172 EGP",21489.65391899363,https://example.com/property/843
Property 844,Townhouse,Fully Finished,Cairo,North Coast,299 sqm,4,2,"2,044,331 EGP",30453.563591845308,https://example.com/property/844
Property 845,Villa,Semi Finished,Sheikh Zayed,Cairo,386 sqm,5,1,"3,820,466 EGP",42267.43419054318,https://example.com/property/845
